Resultados com fitness sendo Valores
87 | 87 | 93 | 31 | 85, 100
92 | 92 | 95 | 26 | 92, 95
98 | 98 | 93 | 5 | 98, 93
105 | 105 | 96 | 54 | 91, 91
105 | 105 | 96 | 40 | 97, 95
98 | 98 | 93 | 98 | 98, 93
105 | 105 | 96 | 69 | 91, 91
105 | 105 | 96 | 80 | 91, 91
106 | 106 | 100 | 6 | 80, 91
91 | 91 | 91 | 55 | 91, 91
109 | 109 | 99 | 9 | 97, 95
97 | 97 | 95 | 19 | 97, 95
117 | 117 | 100 | 31 | 98, 93
91 | 91 | 91 | 26 | 89, 98
99 | 99 | 97 | 94 | 120, 136
97 | 97 | 95 | 7 | 83, 90
117 | 117 | 100 | 56 | 105, 96
98 | 98 | 93 | 5 | 98, 93
117 | 117 | 100 | 38 | 103, 95
98 | 98 | 93 | 49 | 90, 92
117 | 117 | 100 | 90 | 91, 91
106 | 106 | 100 | 51 | 99, 97
117 | 117 | 100 | 62 | 105, 96
117 | 117 | 100 | 97 | 105, 96
117 | 117 | 100 | 2 | 117, 100
91 | 91 | 91 | 74 | 91, 91
105 | 105 | 96 | 93 | 105, 96
109 | 109 | 99 | 25 | 90, 92
105 | 105 | 96 | 49 | 105, 96
106 | 106 | 100 | 27 | 106, 100
98 | 98 | 93 | 15 | 157, 145
117 | 117 | 100 | 17 | 76, 69
91 | 91 | 91 | 47 | 91, 91
117 | 117 | 100 | 15 | 109, 99
117 | 117 | 100 | 51 | 103, 95
117 | 117 | 100 | 11 | 91, 91
105 | 105 | 96 | 20 | 105, 96
109 | 109 | 99 | 64 | 97, 95
105 | 105 | 96 | 13 | 91, 91
105 | 105 | 96 | 23 | 105, 96
106 | 106 | 100 | 62 | 92, 95
109 | 109 | 99 | 25 | 109, 99
117 | 117 | 100 | 70 | 76, 69
103 | 103 | 95 | 81 | 89, 98
79 | 79 | 85 | 67 | 79, 85
105 | 105 | 96 | 75 | 97, 95
117 | 117 | 100 | 4 | 117, 100
99 | 99 | 97 | 25 | 73, 88
92 | 92 | 95 | 49 | 78, 98
117 | 117 | 100 | 96 | 98, 93
117 | 117 | 100 | 60 | 76, 69
117 | 117 | 100 | 31 | 98, 93
105 | 105 | 96 | 49 | 98, 93
79 | 79 | 85 | 55 | 79, 85
117 | 117 | 100 | 0 | 105, 96
91 | 91 | 91 | 76 | 91, 91
105 | 105 | 96 | 53 | 105, 96
117 | 117 | 100 | 55 | 91, 91
117 | 117 | 100 | 61 | 109, 99
103 | 103 | 95 | 24 | 89, 98
117 | 117 | 100 | 19 | 117, 100
89 | 89 | 98 | 77 | 71, 77
103 | 103 | 95 | 50 | 84, 88
117 | 117 | 100 | 58 | 91, 91
99 | 99 | 97 | 37 | 99, 97
105 | 105 | 96 | 36 | 105, 96
117 | 117 | 100 | 49 | 105, 96
117 | 117 | 100 | 73 | 117, 100
106 | 106 | 100 | 39 | 99, 97
117 | 117 | 100 | 56 | 103, 95
105 | 105 | 96 | 99 | 98, 93
117 | 117 | 100 | 86 | 103, 95
91 | 91 | 91 | 19 | 89, 98
89 | 89 | 98 | 83 | 89, 98
98 | 98 | 93 | 33 | 98, 93
117 | 117 | 100 | 46 | 103, 95
109 | 109 | 99 | 56 | 83, 90
105 | 105 | 96 | 39 | 105, 96
105 | 105 | 96 | 32 | 105, 96
85 | 85 | 95 | 99 | 85, 95
106 | 106 | 100 | 93 | 106, 100
103 | 103 | 95 | 8 | 84, 88
117 | 117 | 100 | 99 | 91, 91
109 | 109 | 99 | 18 | 76, 69
109 | 109 | 99 | 2 | 90, 92
90 | 90 | 92 | 22 | 83, 90
117 | 117 | 100 | 64 | 103, 95
117 | 117 | 100 | 11 | 117, 100
73 | 73 | 88 | 69 | 73, 88
105 | 105 | 96 | 83 | 105, 96
109 | 109 | 99 | 32 | 109, 99
109 | 109 | 99 | 11 | 97, 95
97 | 97 | 95 | 81 | 83, 90
117 | 117 | 100 | 2 | 109, 99
117 | 117 | 100 | 98 | 106, 100
117 | 117 | 100 | 2 | 103, 95
92 | 92 | 95 | 27 | 73, 88
105 | 105 | 96 | 58 | 105, 96
85 | 85 | 100 | 63 | 85, 100
91 | 91 | 91 | 66 | 91, 91
117 | 117 | 100 | 70 | 91, 91
109 | 109 | 99 | 65 | 90, 92
117 | 117 | 100 | 84 | 117, 100
105 | 105 | 96 | 47 | 98, 93
98 | 98 | 93 | 98 | 90, 92
79 | 79 | 85 | 73 | 79, 85
109 | 109 | 99 | 77 | 83, 90
117 | 117 | 100 | 2 | 85, 74
87 | 87 | 93 | 25 | 87, 93
117 | 117 | 100 | 18 | 76, 69
103 | 103 | 95 | 22 | 84, 88
98 | 98 | 93 | 62 | 90, 92
98 | 98 | 93 | 82 | 98, 93
98 | 98 | 93 | 71 | 90, 92
103 | 103 | 95 | 17 | 89, 98
99 | 99 | 97 | 22 | 99, 97
99 | 99 | 97 | 22 | 99, 97
98 | 98 | 93 | 20 | 84, 88
117 | 117 | 100 | 44 | 117, 100
109 | 109 | 99 | 97 | 90, 92
117 | 117 | 100 | 69 | 103, 95
98 | 98 | 93 | 54 | 90, 92
117 | 117 | 100 | 68 | 98, 93
99 | 99 | 97 | 34 | 73, 88
99 | 99 | 97 | 42 | 80, 91
97 | 97 | 95 | 58 | 90, 92
84 | 84 | 88 | 99 | 84, 88
97 | 97 | 95 | 66 | 83, 90
105 | 105 | 96 | 28 | 105, 96
97 | 97 | 95 | 46 | 83, 90
103 | 103 | 95 | 62 | 89, 98
97 | 97 | 95 | 19 | 90, 92
80 | 80 | 91 | 41 | 80, 91
98 | 98 | 93 | 71 | 98, 93
97 | 97 | 95 | 12 | 97, 95
105 | 105 | 96 | 82 | 105, 96
90 | 90 | 92 | 39 | 90, 92
99 | 99 | 97 | 41 | 92, 95
106 | 106 | 100 | 3 | 80, 91
98 | 98 | 93 | 88 | 98, 93
117 | 117 | 100 | 67 | 103, 95
91 | 91 | 91 | 68 | 77, 86
91 | 91 | 91 | 16 | 89, 98
89 | 89 | 98 | 53 | 89, 98
117 | 117 | 100 | 78 | 103, 95
105 | 105 | 96 | 5 | 91, 91
103 | 103 | 95 | 47 | 89, 98
117 | 117 | 100 | 54 | 103, 95
80 | 80 | 91 | 99 | 80, 91
99 | 99 | 97 | 50 | 92, 95
109 | 109 | 99 | 95 | 109, 99
103 | 103 | 95 | 34 | 77, 86
78 | 78 | 98 | 92 | 77, 81
105 | 105 | 96 | 74 | 105, 96
99 | 99 | 97 | 76 | 91, 109
105 | 105 | 96 | 98 | 91, 91
117 | 117 | 100 | 58 | 109, 99
92 | 92 | 95 | 6 | 92, 95
97 | 97 | 95 | 51 | 83, 90
98 | 98 | 93 | 33 | 176, 186
78 | 78 | 98 | 43 | 78, 98
117 | 117 | 100 | 84 | 91, 91
91 | 91 | 91 | 35 | 84, 88
117 | 117 | 100 | 13 | 117, 100
106 | 106 | 100 | 9 | 106, 100
91 | 91 | 91 | 97 | 89, 98
91 | 91 | 91 | 17 | 91, 91
105 | 105 | 96 | 68 | 91, 91
117 | 117 | 100 | 44 | 91, 91
117 | 117 | 100 | 75 | 103, 95
117 | 117 | 100 | 66 | 105, 96
117 | 117 | 100 | 36 | 103, 95
106 | 106 | 100 | 27 | 106, 100
117 | 117 | 100 | 11 | 98, 93
117 | 117 | 100 | 73 | 109, 99
106 | 106 | 100 | 26 | 106, 100
91 | 91 | 91 | 4 | 91, 91
105 | 105 | 96 | 90 | 105, 96
117 | 117 | 100 | 20 | 117, 100
117 | 117 | 100 | 14 | 117, 100
117 | 117 | 100 | 89 | 117, 100
117 | 117 | 100 | 27 | 103, 95
103 | 103 | 95 | 36 | 89, 98
117 | 117 | 100 | 64 | 91, 91
117 | 117 | 100 | 2 | 117, 100
106 | 106 | 100 | 98 | 92, 95
109 | 109 | 99 | 98 | 103, 95
98 | 98 | 93 | 32 | 90, 92
105 | 105 | 96 | 99 | 97, 95
117 | 117 | 100 | 8 | 109, 99
91 | 91 | 91 | 10 | 91, 91
103 | 103 | 95 | 40 | 89, 98
106 | 106 | 100 | 68 | 99, 97
117 | 117 | 100 | 19 | 109, 99
117 | 117 | 100 | 20 | 117, 100
99 | 99 | 97 | 14 | 85, 100
83 | 83 | 90 | 1 | 83, 90
117 | 117 | 100 | 19 | 117, 100
98 | 98 | 93 | 42 | 84, 88
117 | 117 | 100 | 12 | 117, 100
98 | 98 | 93 | 1 | 90, 92
117 | 117 | 100 | 37 | 117, 100
103 | 103 | 95 | 41 | 91, 91
106 | 106 | 100 | 71 | 99, 97
117 | 117 | 100 | 85 | 91, 91
117 | 117 | 100 | 88 | 109, 99
117 | 117 | 100 | 70 | 117, 100
117 | 117 | 100 | 22 | 103, 95
106 | 106 | 100 | 65 | 106, 100
98 | 98 | 93 | 78 | 98, 93
91 | 91 | 91 | 62 | 83, 90
89 | 89 | 98 | 30 | 89, 98
117 | 117 | 100 | 85 | 117, 100
109 | 109 | 99 | 29 | 109, 99
103 | 103 | 95 | 0 | 89, 98
89 | 89 | 98 | 29 | 89, 98
91 | 91 | 91 | 98 | 89, 98
85 | 85 | 95 | 30 | 85, 95
79 | 79 | 85 | 59 | 79, 85
99 | 99 | 97 | 66 | 85, 100
109 | 109 | 99 | 39 | 83, 90
85 | 85 | 100 | 73 | 78, 98
98 | 98 | 93 | 11 | 84, 88
99 | 99 | 97 | 60 | 92, 95
117 | 117 | 100 | 99 | 117, 100
85 | 85 | 100 | 54 | 85, 100
105 | 105 | 96 | 44 | 91, 91
92 | 92 | 95 | 11 | 73, 88
98 | 98 | 93 | 61 | 90, 92
92 | 92 | 95 | 83 | 80, 91
105 | 105 | 96 | 72 | 105, 96
117 | 117 | 100 | 70 | 103, 95
